benchmark,benchmark_version,cmbnd,cmbnd_t,cpu_clock_freq,cpu_cores,cpu_litho,cpu_make,cpu_score,cpu_sku,cpu_socket,cpu_t,cpu_test,cpu_tdp,date,gpu,gpu_avg_clock_freq,gpu_avg_memclock_freq,gpu_avg_temp,gpu_clock_freq,gpu_count,gpu_driver_status,gpu_driver_version,gpu_memclock_freq,gpu_score,gpu_vendor,gpu_vram,gt1,gt2,os,ram,ram_clock_freq,score,storage,user
Fire Strike,1.1,12979,60.37,6603,10,14,Intel,40158,Core i9-10900K Processor,FCLGA1200,127.49,127.49,125,September 22 2020,NVIDIA GeForce RTX 3080,2415,1315,N/A,2415,1,Approved ,27.21.14.5638,1315,50621,NVidia Corporation,10240,251.2,195.84,64-bit Windows 10 (10.0.19042),16384,4200,38086,128 GB Lexar SSD,rbuass
Fire Strike,1.1,17000,79.07,4509,16,7,AMD,34480,Ryzen 9 3950X,AM4,109.46,109.46,105,September 27 2020,NVIDIA GeForce RTX 3080,2045,1250,42,2145,1,Approved ,27.21.14.5638,1250,43218,Palit Microsystems Ltd.,10240,211.66,168.95,64-bit Windows 10 (10.0.19041),32768,3740,36249,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Fire Strike,1.1,16418,76.37,4724,16,7,AMD,33914,Ryzen 9 3950X,AM4,107.66,107.66,105,September 26 2020,NVIDIA GeForce RTX 3080,2074,1297,50,2100,1,Approved ,27.21.14.5638,1297,43393,"Micro-Star International Co ., Ltd.",10240,213.45,169.04,64-bit Windows 10 (10.0.19041),32768,3732,35974,"2,000 GB GIGABYTE GP-ASM2NE6200TTTD",bladerunner500
Fire Strike,1.1,16049,74.65,4402,16,7,AMD,35929,Ryzen 9 3950X,AM4,114.06,114.06,105,September 20 2020,NVIDIA GeForce RTX 3080,2097,1269,41,2145,1,Approved ,27.21.14.5638,1269,42859,"Micro-Star International Co ., Ltd.",10240,209.22,167.98,64-bit Windows 10 (10.0.19041),32768,3598,35835,256 GB XPG SPECTRIX S40G,N/A
Fire Strike,1.1,16749,77.9,4509,16,7,AMD,34609,Ryzen 9 3950X,AM4,109.87,109.87,105,September 23 2020,NVIDIA GeForce RTX 3080,2027,1281,46,2130,1,Approved ,27.21.14.5638,1281,42492,Palit Microsystems Ltd.,10240,208.2,166.05,64-bit Windows 10 (10.0.19041),32768,3740,35771,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Fire Strike,1.1,16111,74.94,4301,16,7,AMD,34490,Ryzen 9 3950X,AM4,109.49,109.49,105,September 23 2020,NVIDIA GeForce RTX 3080,2025,1312,49,2070,1,Approved ,27.21.14.5638,1313,42960,"Giga-Byte Technology Co., Ltd.",10240,211.08,167.51,64-bit Windows 10 (10.0.19041),32768,3732,35696,"1,000 GB GALAX HA1K1000N",lizheng_2
Fire Strike,1.1,16844,78.35,4510,16,7,AMD,34350,Ryzen 9 3950X,AM4,109.05,109.05,105,September 27 2020,NVIDIA GeForce RTX 3080,2028,1213,41,2085,1,Approved ,27.21.14.5638,1213,42268,Palit Microsystems Ltd.,10240,205.13,166.45,64-bit Windows 10 (10.0.19041),32768,3740,35653,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Fire Strike,1.1,16249,75.58,4298,16,7,AMD,34430,Ryzen 9 3950X,AM4,109.3,109.3,105,September 29 2020,NVIDIA GeForce RTX 3080,N/A,N/A,N/A,1515,1,Approved ,27.21.14.5655,1294,42755,"Giga-Byte Technology Co., Ltd.",10240,208.88,167.47,64-bit Windows 10 (10.0.19041),32768,3732,35647,"1,000 GB GALAX HA1K1000N",lizheng_2
Fire Strike,1.1,16274,75.7,4401,16,7,AMD,35948,Ryzen 9 3950X,AM4,114.12,114.12,105,September 20 2020,NVIDIA GeForce RTX 3080,2097,1269,41,2145,1,Approved ,27.21.14.5638,1269,42009,"Micro-Star International Co ., Ltd.",10240,200.02,168.06,64-bit Windows 10 (10.0.19041),32768,3598,35497,256 GB XPG SPECTRIX S40G,N/A
Fire Strike,1.1,15830,73.63,4509,16,7,AMD,34367,Ryzen 9 3950X,AM4,109.1,109.1,105,September 22 2020,NVIDIA GeForce RTX 3080,2027,1281,48,2145,1,Approved ,27.21.14.5638,1281,42793,Palit Microsystems Ltd.,10240,208.98,167.67,64-bit Windows 10 (10.0.19041),32768,3740,35450,500 GB  Sabrent Rocket 4 SCSI Disk Device,VPII-2
Fire Strike,1.1,16017,74.5,4674,16,7,AMD,33136,Ryzen 9 3950X,AM4,105.2,105.2,105,September 25 2020,NVIDIA GeForce RTX 3080,2046,1293,54,2085,1,Approved ,27.21.14.5638,1293,42808,"Micro-Star International Co ., Ltd.",10240,208.98,167.77,64-bit Windows 10 (10.0.19041),32768,3732,35347,"2,000 GB GIGABYTE GP-ASM2NE6200TTTD",bladerunner500
Fire Strike,1.1,15805,73.52,4401,16,7,AMD,35455,Ryzen 9 3950X,AM4,112.56,112.56,105,September 20 2020,NVIDIA GeForce RTX 3080,2031,1194,46,2100,1,Approved ,27.21.14.5638,1194,41939,"Micro-Star International Co ., Ltd.",10240,205.81,163.69,64-bit Windows 10 (10.0.19041),32768,3598,35160,256 GB XPG SPECTRIX S40G,N/A
Fire Strike,1.1,16127,75.01,4298,16,7,AMD,34181,Ryzen 9 3950X,AM4,108.51,108.51,105,September 21 2020,NVIDIA GeForce RTX 3080,N/A,N/A,N/A,1475,1,Approved ,27.21.14.5638,1216,41824,"Giga-Byte Technology Co., Ltd.",10240,205.84,162.87,64-bit Windows 10 (10.0.19041),32768,3732,35061,"1,000 GB GALAX HA1K1000N",lizheng_2
Fire Strike,1.1,15308,71.2,4591,16,7,AMD,32688,Ryzen 9 3950X,AM4,103.77,103.77,105,September 22 2020,NVIDIA GeForce RTX 3080,2037,1275,58,2070,1,Approved ,27.21.14.5638,1275,42763,"Micro-Star International Co ., Ltd.",10240,208.02,168.07,64-bit Windows 10 (10.0.19041),65536,3592,34891,"1,000 GB Sabrent Rocket 4.0 1TB",Juicy J@lapeno
Fire Strike,1.1,15882,73.87,4401,16,7,AMD,35869,Ryzen 9 3950X,AM4,113.87,113.87,105,September 20 2020,NVIDIA GeForce RTX 3080,2006,1188,65,2055,1,Approved ,27.21.14.5638,1188,40860,"Micro-Star International Co ., Ltd.",10240,196.8,161.91,64-bit Windows 10 (10.0.19041),32768,3598,34681,256 GB XPG SPECTRIX S40G,N/A
Fire Strike,1.1,15701,73.03,4301,16,7,AMD,33495,Ryzen 9 3950X,AM4,106.33,106.33,105,September 22 2020,NVIDIA GeForce RTX 3080,2050,1281,49,2070,1,Approved ,27.21.14.5638,1281,41579,"Giga-Byte Technology Co., Ltd.",10240,196.7,167.24,64-bit Windows 10 (10.0.19041),32768,3732,34619,"1,000 GB GALAX HA1K1000N",lizheng_2
Fire Strike,1.1,15153,70.48,4749,16,7,AMD,33765,Ryzen 9 3950X,AM4,107.19,107.19,105,September 24 2020,NVIDIA GeForce RTX 3080,1993,1299,68,2040,1,Approved ,27.21.14.5638,1299,42017,"Micro-Star International Co ., Ltd.",10240,205.08,164.7,64-bit Windows 10 (10.0.19041),32768,3732,34611,"2,000 GB GIGABYTE GP-ASM2NE6200TTTD",bladerunner500
Fire Strike,1.1,15475,71.98,4601,16,7,AMD,33407,Ryzen 9 3950X,AM4,106.06,106.06,105,September 18 2020,NVIDIA GeForce RTX 3080,1977,1188,58,1995,1,Approved ,27.21.14.5638,1188,41766,"Giga-Byte Technology Co., Ltd.",10240,206.75,161.89,64-bit Windows 10 (10.0.19041),65536,3666,34590,"1,000 GB GIGABYTE GP-ASM2NE6100TTTD",Bazzq
Fire Strike,1.1,14877,69.2,4947,18,14,Intel,35637,Core i9-10980XE Extreme Edition Processor,LGA2066,113.14,113.14,165,September 24 2020,NVIDIA GeForce RTX 3080,1918,1200,54,2010,1,Approved ,27.21.14.5638,1213,41631,Palit Microsystems Ltd.,10240,204.57,162.31,64-bit Windows 10 (10.0.19041),32768,4002,34546,"2,048 GB ADATA SX8200PNP",fireedo
Fire Strike,1.1,15587,72.5,4599,16,7,AMD,33381,Ryzen 9 3950X,AM4,105.97,105.97,105,September 18 2020,NVIDIA GeForce RTX 3080,1972,1188,58,1995,1,Approved ,27.21.14.5638,1188,41566,"Giga-Byte Technology Co., Ltd.",10240,205.34,161.37,64-bit Windows 10 (10.0.19041),32768,3732,34539,"1,000 GB GIGABYTE GP-ASM2NE6100TTTD",Bazzq
Fire Strike,1.1,14752,68.62,4401,16,7,AMD,35758,Ryzen 9 3950X,AM4,113.52,113.52,105,September 19 2020,NVIDIA GeForce RTX 3080,1996,1175,63,2055,1,Approved ,27.21.14.5638,1188,41671,"Micro-Star International Co ., Ltd.",10240,205.24,162.17,64-bit Windows 10 (10.0.19041),32768,3598,34516,256 GB XPG SPECTRIX S40G,N/A
Fire Strike,1.1,15258,70.97,4601,16,7,AMD,33464,Ryzen 9 3950X,AM4,106.24,106.24,105,September 18 2020,NVIDIA GeForce RTX 3080,1975,1188,59,1995,1,Approved ,27.21.14.5638,1188,41686,"Giga-Byte Technology Co., Ltd.",10240,204.93,162.47,64-bit Windows 10 (10.0.19041),65536,3664,34449,"1,000 GB GIGABYTE GP-ASM2NE6100TTTD",Bazzq
Fire Strike,1.1,15264,71.0,4601,16,7,AMD,33404,Ryzen 9 3950X,AM4,106.05,106.05,105,September 18 2020,NVIDIA GeForce RTX 3080,1984,1186,57,2010,1,Approved ,27.21.14.5638,1188,41684,"Giga-Byte Technology Co., Ltd.",10240,204.55,162.69,64-bit Windows 10 (10.0.19041),65536,3600,34441,"1,000 GB GIGABYTE GP-ASM2NE6100TTTD",Zaphira
Fire Strike,1.1,15508,72.13,4551,16,7,AMD,33112,Ryzen 9 3950X,AM4,105.12,105.12,105,September 18 2020,NVIDIA GeForce RTX 3080,1975,1188,59,1995,1,Approved ,27.21.14.5638,1188,41536,"Giga-Byte Technology Co., Ltd.",10240,204.56,161.65,64-bit Windows 10 (10.0.19041),65536,3664,34441,"1,000 GB GIGABYTE GP-ASM2NE6100TTTD",Bazzq
Fire Strike,1.1,15046,69.98,4724,16,7,AMD,33296,Ryzen 9 3950X,AM4,105.7,105.7,105,September 25 2020,NVIDIA GeForce RTX 3080,1992,1290,72,2055,1,Approved ,27.21.14.5638,1290,41924,"Micro-Star International Co ., Ltd.",10240,204.31,164.54,64-bit Windows 10 (10.0.19041),32768,3732,34434,"2,000 GB GIGABYTE GP-ASM2NE6200TTTD",bladerunner500
Fire Strike,1.1,15841,73.68,4301,16,7,AMD,33599,Ryzen 9 3950X,AM4,106.66,106.66,105,September 22 2020,NVIDIA GeForce RTX 3080,1952,1184,62,1995,1,Approved ,27.21.14.5638,1188,41036,"Giga-Byte Technology Co., Ltd.",10240,202.06,159.73,64-bit Windows 10 (10.0.19041),32768,3732,34418,"1,000 GB GALAX HA1K1000N",lizheng_2
Fire Strike,1.1,14169,65.9,4715,18,14,Intel,34657,Core i9-7980XE Processor,FCLGA2066,110.02,110.02,165,September 29 2020,NVIDIA GeForce RTX 3080,2065,1313,45,2115,1,Approved ,27.21.14.5655,1313,42148,"Asustek Computer, Inc.",10240,195.91,172.14,64-bit Windows 10 (10.0.18363),32768,3600,34269,"1,000 GB NVMe Samsung SSD 970 SCSI Disk Device",Gosu - Extreme Hardware
Fire Strike,1.1,14032,65.27,4955,18,14,Intel,35966,Core i9-10980XE Extreme Edition Processor,LGA2066,114.18,114.18,165,September 24 2020,NVIDIA GeForce RTX 3080,1948,1223,54,2055,1,Approved ,27.21.14.5638,1237,41936,Palit Microsystems Ltd.,10240,206.08,163.49,64-bit Windows 10 (10.0.19041),32768,4002,34268,"2,048 GB ADATA SX8200PNP",fireedo
Fire Strike,1.1,16002,74.43,4749,16,7,AMD,33639,Ryzen 9 3950X,AM4,106.79,106.79,105,September 18 2020,NVIDIA GeForce RTX 3080,1923,1238,67,1980,1,Approved ,27.21.14.5638,1239,40303,Palit Microsystems Ltd.,10240,197.61,157.41,64-bit Windows 10 (10.0.19041),32768,3732,34109,"2,000 GB GIGABYTE GP-ASM2NE6200TTTD",bladerunner500
Fire Strike,1.1,14479,67.35,4576,16,7,AMD,33543,Ryzen 9 3950X,AM4,106.49,106.49,105,September 18 2020,NVIDIA GeForce RTX 3080,1976,1188,58,1995,1,Approved ,27.21.14.5638,1188,41719,"Giga-Byte Technology Co., Ltd.",10240,204.96,162.68,64-bit Windows 10 (10.0.19041),65536,3732,34064,"1,000 GB GIGABYTE GP-ASM2NE6100TTTD",Bazzq
Fire Strike,1.1,14713,68.44,4299,16,7,AMD,33794,Ryzen 9 3950X,AM4,107.28,107.28,105,September 25 2020,NVIDIA GeForce RTX 3080,2028,1297,57,2055,1,Approved ,27.21.14.5638,1297,41372,"Giga-Byte Technology Co., Ltd.",10240,197.41,165.21,64-bit Windows 10 (10.0.19041),32768,3732,34055,"1,000 GB GALAX HA1K1000N",N/A
Fire Strike,1.1,16258,75.62,4749,16,7,AMD,33652,Ryzen 9 3950X,AM4,106.83,106.83,105,September 18 2020,NVIDIA GeForce RTX 3080,1920,1188,67,1980,1,Approved ,27.21.14.5638,1188,39952,Palit Microsystems Ltd.,10240,196.22,155.82,64-bit Windows 10 (10.0.19041),32768,3732,34035,"2,000 GB GIGABYTE GP-ASM2NE6200TTTD",bladerunner500
Fire Strike,1.1,11867,55.2,5203,10,14,Intel,30570,Core i9-10900KF Processor,FCLGA1200,97.05,97.05,125,September 28 2020,NVIDIA GeForce RTX 3080,2064,1350,53,2100,1,Approved ,27.21.14.5655,1350,46609,"Micro-Star International Co ., Ltd.",10240,232.19,179.78,64-bit Windows 10 (10.0.19041),16384,4600,33984,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Fire Strike,1.1,15426,71.75,4574,16,7,AMD,33313,Ryzen 9 3950X,AM4,105.76,105.76,105,September 18 2020,NVIDIA GeForce RTX 3080,1980,1188,59,2010,1,Approved ,27.21.14.5638,1188,40668,"Giga-Byte Technology Co., Ltd.",10240,194.19,162.3,64-bit Windows 10 (10.0.19041),32768,3732,33982,"1,000 GB GIGABYTE GP-ASM2NE6100TTTD",Bazzq
Fire Strike,1.1,15080,70.14,4574,16,7,AMD,32350,Ryzen 9 3950X,AM4,102.7,102.7,105,September 29 2020,NVIDIA GeForce RTX 3080,2038,1250,62,2085,1,Approved ,27.21.14.5655,1250,41253,"Giga-Byte Technology Co., Ltd.",10240,202.3,161.1,64-bit Windows 10 (10.0.19041),32768,3598,33957,500 GB Samsung SSD 970 EVO Plus 500GB,Carrera-3
Fire Strike,1.1,11888,55.3,5308,10,14,Intel,32355,Core i9-10900K Processor,FCLGA1200,102.72,102.72,125,September 29 2020,NVIDIA GeForce RTX 3080,2048,1304,40,2115,1,Approved ,27.21.14.5655,1304,45586,"Asustek Computer, Inc.",10240,227.4,175.65,64-bit Windows 10 (10.0.19041),16384,4404,33897,"1,024 GB ADATA SX8200PNP",raufzero
Fire Strike,1.1,14925,69.42,4466,16,7,AMD,32249,Ryzen 9 3950X,AM4,102.38,102.38,105,September 23 2020,NVIDIA GeForce RTX 3080,1984,1188,64,2010,1,Approved ,27.21.14.5638,1188,41301,"Giga-Byte Technology Co., Ltd.",10240,203.74,160.53,64-bit Windows 10 (10.0.19041),32768,3592,33885,"2,000 GB GIGABYTE GP-ASM2NE6200TTTD",David-6304
Fire Strike,1.1,11259,52.37,5203,10,14,Intel,31557,Core i9-10900KF Processor,FCLGA1200,100.18,100.18,125,September 28 2020,NVIDIA GeForce RTX 3080,2099,1350,48,2175,1,Approved ,27.21.14.5655,1350,46963,"Micro-Star International Co ., Ltd.",10240,232.63,181.94,64-bit Windows 10 (10.0.19041),16384,4596,33777,"2,000 GB Samsung SSD 970 EVO Plus 2TB",얄풍
Fire Strike,1.1,14229,66.18,4651,16,7,AMD,33305,Ryzen 9 3950X,AM4,105.73,105.73,105,September 18 2020,NVIDIA GeForce RTX 3080,1978,1188,58,1995,1,Approved ,27.21.14.5638,1188,41493,"Giga-Byte Technology Co., Ltd.",10240,203.61,161.95,64-bit Windows 10 (10.0.19041),65536,3598,33775,"1,000 GB GIGABYTE GP-ASM2NE6100TTTD",Bazzq
