benchmark,benchmark_version,cpu_clock_freq,cpu_cores,cpu_litho,cpu_make,cpu_score,cpu_sku,cpu_socket,cpu_test,cpu_tdp,date,gpu,gpu_avg_clock_freq,gpu_avg_memclock_freq,gpu_avg_temp,gpu_clock_freq,gpu_count,gpu_driver_status,gpu_driver_version,gpu_memclock_freq,gpu_score,gpu_vendor,gpu_vram,pr_gt,os,ram,ram_clock_freq,score,storage,user
Port Royal,1.2,5503,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2405,1315,N/A,2430,1,Approved ,27.21.14.5638,1315,14131,NVidia Corporation,10240,65.43,64-bit Windows 10 (10.0.19042),16384,4200,14131,128 GB Lexar SSD,rbuass
Port Royal,1.2,5302,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2408,1315,N/A,2430,1,Approved ,27.21.14.5638,1315,14108,NVidia Corporation,10240,65.32,64-bit Windows 10 (10.0.19042),16384,4200,14108,128 GB Lexar SSD,rbuass
Port Royal,1.2,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2409,1317,N/A,2430,1,Approved ,27.21.14.5638,1317,14098,NVidia Corporation,10240,65.27,64-bit Windows 10 (10.0.19042),16384,4198,14098,128 GB Lexar SSD,N/A
Port Royal,1.2,5301,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2412,1317,N/A,2430,1,Approved ,27.21.14.5638,1317,14098,NVidia Corporation,10240,65.27,64-bit Windows 10 (10.0.19042),16384,4200,14098,128 GB Lexar SSD,N/A
Port Royal,1.2,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2413,1313,N/A,2430,1,Approved ,27.21.14.5638,1313,14095,NVidia Corporation,10240,65.26,64-bit Windows 10 (10.0.19042),16384,4200,14095,128 GB Lexar SSD,rbuass
Port Royal,1.2,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2415,1319,N/A,2430,1,Approved ,27.21.14.5638,1319,14081,NVidia Corporation,10240,65.19,64-bit Windows 10 (10.0.19042),16384,4200,14081,128 GB Lexar SSD,rbuass
Port Royal,1.1,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 21 2020,NVIDIA GeForce RTX 3080,2334,1319,N/A,2340,1,Approved ,27.21.14.5638,1319,14069,EVGA Corporation,10240,65.14,64-bit Windows 10 (10.0.18363),16384,4800,14069,256 GB Samsung SSD 840 PRO Series,steponz
Port Royal,1.2,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2400,1313,N/A,2415,1,Approved ,27.21.14.5638,1313,14050,NVidia Corporation,10240,65.05,64-bit Windows 10 (10.0.19042),16384,4200,14050,128 GB Lexar SSD,N/A
Port Royal,1.2,5903,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2397,1314,N/A,2415,1,Approved ,27.21.14.5638,1314,14042,NVidia Corporation,10240,65.01,64-bit Windows 10 (10.0.19042),16384,4200,14042,128 GB Lexar SSD,rbuass
Port Royal,1.2,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2400,1314,N/A,2415,1,Approved ,27.21.14.5638,1314,14035,NVidia Corporation,10240,64.98,64-bit Windows 10 (10.0.19042),16384,4200,14035,128 GB Lexar SSD,rbuass
Port Royal,1.2,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2383,1314,N/A,2400,1,Approved ,27.21.14.5638,1314,13995,NVidia Corporation,10240,64.79,64-bit Windows 10 (10.0.19042),16384,4200,13995,128 GB Lexar SSD,rbuass
Port Royal,1.2,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 21 2020,NVIDIA GeForce RTX 3080,2379,1313,N/A,2400,1,Approved ,27.21.14.5638,1313,13933,NVidia Corporation,10240,64.51,64-bit Windows 10 (10.0.19042),16384,4200,13933,128 GB Lexar SSD,rbuass
Port Royal,1.2,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2333,1313,N/A,2340,1,Approved ,27.21.14.5638,1313,13749,NVidia Corporation,10240,63.66,64-bit Windows 10 (10.0.19042),16384,4200,13749,128 GB Lexar SSD,rbuass
Port Royal,1.1,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 17 2020,NVIDIA GeForce RTX 3080,2336,1314,N/A,2340,1,Approved ,27.21.14.5638,1314,13488,NVidia Corporation,10240,62.45,64-bit Windows 10 (10.0.19041),16384,4200,13488,480 GB GALAX TA1C0480A,rbuass
Port Royal,1.1,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 17 2020,NVIDIA GeForce RTX 3080,2336,1315,N/A,2340,1,Approved ,27.21.14.5638,1315,13271,NVidia Corporation,10240,61.44,64-bit Windows 10 (10.0.19041),16384,4196,13271,480 GB GALAX TA1C0480A,rbuass
Port Royal,1.2,5103,6,14,Intel,,Core i7-8700K Processor,LGA-1151,,95,September 27 2020,NVIDIA GeForce RTX 3080,462,565,39,1492,1,Approved ,27.21.14.5638,1752,12774,ZOTAC,10240,59.14,64-bit Windows 10 (10.0.19041),32768,PRO,12774,512 GB Samsung SSD 960 PRO 512GB,acs
Port Royal,1.2,5408,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2076,1319,53,2085,1,Approved ,27.21.14.5638,1319,12729,"Asustek Computer, Inc.",10240,58.93,64-bit Windows 10 (10.0.18363),32768,4404,12729,"1,000 GB Seagate FireCuda 510 SSD ZP1000GM30001",普普通通Tony大叔
Port Royal,1.2,5308,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 22 2020,NVIDIA GeForce RTX 3080,2073,1312,54,2085,1,Approved ,27.21.14.5638,1313,12703,"Asustek Computer, Inc.",10240,58.81,64-bit Windows 10 (10.0.18363),32768,4404,12703,"1,000 GB Seagate FireCuda 510 SSD ZP1000GM30001",普普通通Tony大叔
Port Royal,1.2,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 24 2020,NVIDIA GeForce RTX 3080,2068,1325,54,2145,1,Approved ,27.21.14.5638,1325,12680,EVGA Corporation,10240,58.7,64-bit Windows 10 (10.0.19041),32768,4132,12680,500 GB Samsung SSD 970 EVO Plus 500GB,Jufes
Port Royal,1.2,5303,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 24 2020,NVIDIA GeForce RTX 3080,2056,1312,55,2100,1,Approved ,27.21.14.5638,1313,12621,EVGA Corporation,10240,58.43,64-bit Windows 10 (10.0.19041),32768,4132,12621,500 GB Samsung SSD 970 EVO Plus 500GB,Jufes
Port Royal,1.2,5301,10,14,Intel,,Core i9-10900K Processor,FCLGA1200,,125,September 24 2020,NVIDIA GeForce RTX 3080,2069,1325,56,2130,1,Approved ,27.21.14.5638,1325,12603,EVGA Corporation,10240,58.35,64-bit Windows 10 (10.0.19041),32768,4134,12603,500 GB Samsung SSD 970 EVO Plus 500GB,Jufes
Port Royal,1.2,5203,8,14,Intel,,Core i9-9900K Processor,FCLGA1151,,95,September 24 2020,NVIDIA GeForce RTX 3080,2024,1297,50,2070,1,Approved ,27.21.14.5638,1297,12478,"Micro-Star International Co ., Ltd.",10240,57.77,64-bit Windows 10 (10.0.18363),32768,4000,12478,"2,000 GB PNY CS3030 2TB SSD",ELP3
Port Royal,1.2,4902,10,14,Intel,,Core i9-10900KF Processor,FCLGA1200,,125,September 29 2020,NVIDIA GeForce RTX 3080,2021,1338,45,2085,1,Approved ,27.21.14.5655,1338,12477,"Micro-Star International Co ., Ltd.",10240,57.77,64-bit Windows 10 (10.0.19041),32768,4000,12477,"1,000 GB Samsung SSD 970 EVO Plus 1TB",Ustinel
Port Royal,1.2,4399,16,7,AMD,,Ryzen 9 3950X,AM4,,105,September 18 2020,NVIDIA GeForce RTX 3080,2047,1313,48,2100,1,Approved ,27.21.14.5616,1313,12462,"Micro-Star International Co ., Ltd.",10240,57.7,64-bit Windows 10 (10.0.18363),16384,3598,12462,"1,024 GB ADATA SX8200PNP",Lucky_n00b
Port Royal,1.2,5203,8,14,Intel,,Core i7-10700K Processor,FCLGA1200,,125,September 29 2020,NVIDIA GeForce RTX 3080,2063,1257,45,2145,1,Approved ,27.21.14.5655,1257,12455,"Micro-Star International Co ., Ltd.",10240,57.66,64-bit Windows 10 (10.0.19041),16384,4198,12455,250 GB Samsung SSD 970 EVO 250GB,craigiex3
Port Royal,1.2,4526,12,7,AMD,,Ryzen 9 3900X,AM4,,105,September 17 2020,NVIDIA GeForce RTX 3080,2061,1344,41,2115,1,Approved ,27.21.14.5616,1344,12454,"Micro-Star International Co ., Ltd.",10240,57.66,64-bit Windows 10 (10.0.18363),16384,3598,12454,"1,024 GB ADATA SX8200PNP",Lucky_n00b
Port Royal,1.2,5203,8,14,Intel,,Core i9-9900K Processor,FCLGA1151,,95,September 23 2020,NVIDIA GeForce RTX 3080,2039,1281,50,2160,1,Approved ,27.21.14.5638,1293,12429,"Micro-Star International Co ., Ltd.",10240,57.55,64-bit Windows 10 (10.0.18363),32768,4000,12429,"2,000 GB PNY CS3030 2TB SSD",ELP3
Port Royal,1.2,4576,12,7,AMD,,Ryzen 9 3900X,AM4,,105,September 30 2020,NVIDIA GeForce RTX 3080,2069,1328,38,2115,1,Approved ,27.21.14.5655,1328,12418,"Micro-Star International Co ., Ltd.",10240,57.49,64-bit Windows 10 (10.0.19041),32768,3732,12418,"1,000 GB Samsung SSD 970 EVO 1TB",Punkworks
Port Royal,1.2,4576,12,7,AMD,,Ryzen 9 3900X,AM4,,105,September 29 2020,NVIDIA GeForce RTX 3080,2072,1328,40,2145,1,Approved ,27.21.14.5655,1328,12415,"Micro-Star International Co ., Ltd.",10240,57.48,64-bit Windows 10 (10.0.19041),32768,3732,12415,"1,000 GB Samsung SSD 970 EVO 1TB",Punkworks
