benchmark,benchmark_version,cpu_clock_freq,cpu_cores,cpu_litho,cpu_make,cpu_score,cpu_sku,cpu_socket,cpu_tdp,cpu_test,date,gpu,gpu_avg_clock_freq,gpu_avg_memclock_freq,gpu_avg_temp,gpu_clock_freq,gpu_count,gpu_driver_status,gpu_driver_version,gpu_memclock_freq,gpu_score,gpu_vendor,gpu_vram,gt1,gt2,os,ram,ram_clock_freq,score,storage,user
Time Spy,1.2,6903,10,14,Intel,19241,Core i9-10900K Processor,FCLGA1200,125,64.65,September 22 2020,NVIDIA GeForce RTX 3080,2393,1314,N/A,2415,1,Approved ,27.21.14.5638,1314,21560,NVidia Corporation,10240,141.68,122.72,64-bit Windows 10 (10.0.19042),16384,4200,21177,128 GB Lexar SSD,rbuass
Time Spy,1.2,6803,10,14,Intel,19164,Core i9-10900K Processor,FCLGA1200,125,64.39,September 22 2020,NVIDIA GeForce RTX 3080,2373,1313,N/A,2400,1,Approved ,27.21.14.5638,1313,21531,NVidia Corporation,10240,141.26,122.72,64-bit Windows 10 (10.0.19042),16384,4196,21139,128 GB Lexar SSD,rbuass
Time Spy,1.2,6602,10,14,Intel,18744,Core i9-10900K Processor,FCLGA1200,125,62.97,September 22 2020,NVIDIA GeForce RTX 3080,2377,1315,N/A,2415,1,Approved ,27.21.14.5638,1315,21566,NVidia Corporation,10240,141.21,123.14,64-bit Windows 10 (10.0.19042),16384,4198,21089,128 GB Lexar SSD,rbuass
Time Spy,1.2,6502,10,14,Intel,18526,Core i9-10900K Processor,FCLGA1200,125,62.24,September 22 2020,NVIDIA GeForce RTX 3080,2369,1314,N/A,2400,1,Approved ,27.21.14.5638,1314,21517,NVidia Corporation,10240,141.06,122.74,64-bit Windows 10 (10.0.19042),16384,4200,21008,128 GB Lexar SSD,rbuass
Time Spy,1.2,5408,10,14,Intel,16218,Core i9-10900K Processor,FCLGA1200,125,54.49,September 22 2020,NVIDIA GeForce RTX 3080,2061,1319,54,2085,1,Approved ,27.21.14.5638,1319,20100,"Asustek Computer, Inc.",10240,132.34,114.23,64-bit Windows 10 (10.0.18363),32768,4404,19403,"1,000 GB Seagate FireCuda 510 SSD ZP1000GM30001",普普通通Tony大叔
Time Spy,1.2,5408,10,14,Intel,16299,Core i9-10900K Processor,FCLGA1200,125,54.76,September 24 2020,NVIDIA GeForce RTX 3080,2051,1312,54,2085,1,Approved ,27.21.14.5638,1313,19995,"Asustek Computer, Inc.",10240,131.47,113.76,64-bit Windows 10 (10.0.18363),32768,4404,19337,"1,000 GB Seagate FireCuda 510 SSD ZP1000GM30001",普普通通Tony大叔
Time Spy,1.2,5408,10,14,Intel,16280,Core i9-10900K Processor,FCLGA1200,125,54.7,September 24 2020,NVIDIA GeForce RTX 3080,2054,1312,54,2070,1,Approved ,27.21.14.5638,1313,19991,"Asustek Computer, Inc.",10240,131.12,113.98,64-bit Windows 10 (10.0.18363),32768,4402,19330,"1,000 GB Seagate FireCuda 510 SSD ZP1000GM30001",普普通通Tony大叔
Time Spy,1.2,5308,10,14,Intel,15937,Core i9-10900K Processor,FCLGA1200,125,53.54,September 22 2020,NVIDIA GeForce RTX 3080,2067,1312,52,2100,1,Approved ,27.21.14.5638,1313,20084,"Asustek Computer, Inc.",10240,132.12,114.22,64-bit Windows 10 (10.0.18363),32768,4402,19329,"1,000 GB Seagate FireCuda 510 SSD ZP1000GM30001",普普通通Tony大叔
Time Spy,1.2,5308,10,14,Intel,16069,Core i9-10900K Processor,FCLGA1200,125,53.99,September 22 2020,NVIDIA GeForce RTX 3080,2053,1319,54,2085,1,Approved ,27.21.14.5638,1319,20043,"Asustek Computer, Inc.",10240,131.82,114.01,64-bit Windows 10 (10.0.18363),32768,4402,19326,"1,000 GB Seagate FireCuda 510 SSD ZP1000GM30001",普普通通Tony大叔
Time Spy,1.2,5408,10,14,Intel,16203,Core i9-10900K Processor,FCLGA1200,125,54.44,September 22 2020,NVIDIA GeForce RTX 3080,2067,1312,54,2085,1,Approved ,27.21.14.5638,1313,20002,"Asustek Computer, Inc.",10240,131.26,113.99,64-bit Windows 10 (10.0.18363),32768,4402,19322,"1,000 GB Seagate FireCuda 510 SSD ZP1000GM30001",普普通通Tony大叔
