cpu,cpu_freq,date,gpu,gpu_freq,score,type_name
Intel Core i9-7980XE Processor ,"2,600 MHz ",December 20 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,250 MHz ",14022,Time Spy (1.0) by AAKM
Intel Core i9-9980XE Processor ,"3,000 MHz ",February 8 2020,Dell Computer Corporation NVIDIA GeForce RTX 2080 ,"2,205 MHz ",13855,Time Spy (1.0) by ShaggySVK
Intel Core i9-9980XE Processor ,"3,000 MHz ",February 8 2020,Dell Computer Corporation NVIDIA GeForce RTX 2080 ,"2,190 MHz ",13656,Time Spy (1.0) by ShaggySVK
Intel Core i7-8700 Processor ,"3,192 MHz ",October 7 2018,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","1,965 MHz ",13372,Time Spy (1.0) by sdlink
Intel Core i7-9800X Processor ,"3,801 MHz ",May 28 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"1,350 MHz ",13332,Time Spy (1.0) by glxracer
Intel Core i7-8700 Processor ,"3,192 MHz ",October 7 2018,"Micro-Star International Co ., Ltd. NVIDIA GeForce RTX 2080 ","1,950 MHz ",13330,Time Spy (1.0) by sdlink
Intel Core i9-7980XE Processor ,"2,600 MHz ",February 10 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,130 MHz ",13256,Time Spy (1.0) by jab383
AMD Ryzen 9 3900X ,"3,793 MHz ",March 30 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,205 MHz ",13252,Time Spy (1.0) by LaulOul
Intel Core i9-9900K Processor ,"3,600 MHz ",September 28 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,205 MHz ",13223,Time Spy (1.0) by Ceri.martin
AMD Ryzen 9 3900X ,"3,793 MHz ",March 28 2020,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,205 MHz ",13219,Time Spy (1.0) by LaulOul
AMD Ryzen 9 3950X ,"3,500 MHz ",July 4 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13200,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",July 4 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13181,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",July 4 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13180,Time Spy (1.2) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",October 7 2019,EVGA Corporation NVIDIA GeForce RTX 2080 ,"2,160 MHz ",13176,Time Spy (1.0) by phoenix1978
AMD Ryzen 9 3950X ,"3,500 MHz ",July 4 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13175,Time Spy (1.2) by anissastacy
Intel Core i9-9900K Processor ,"3,600 MHz ",June 11 2019,"Asustek Computer, Inc. NVIDIA GeForce RTX 2080 ","2,190 MHz ",13174,Time Spy (1.0) by yuyijun22
AMD Ryzen 9 3950X ,"3,500 MHz ",July 3 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13171,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",July 2 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13163,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",July 4 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13159,Time Spy (1.2) by anissastacy
AMD Ryzen 9 3950X ,"3,500 MHz ",June 30 2020,"Giga-Byte Technology Co., Ltd. NVIDIA GeForce RTX 2080 ","2,175 MHz ",13158,Time Spy (1.2) by anissastacy
