benchmark,benchmark_version,cpu_clock_freq,cpu_cores,cpu_litho,cpu_make,cpu_score,cpu_sku,cpu_socket,cpu_tdp,date,gpu,gpu_avg_clock_freq,gpu_avg_memclock_freq,gpu_avg_temp,gpu_clock_freq,gpu_count,gpu_driver_status,gpu_driver_version,gpu_memclock_freq,gpu_score,gpu_vendor,gpu_vram,os,ram,ram_clock_freq,score
Time Spy,1.2,6903,10,14 nm,Intel,19241,Intel Core i9-10900K Processor,FCLGA1200,125,September 22 2020,NVIDIA GeForce RTX 3080,2393,1314,N/A,2415,1,Approved ,27.21.14.5638,1314,21560,NVidia Corporation,10240,64-bit Windows 10 (10.0.19042),16384,4200,21177
Time Spy,1.2,6803,10,14 nm,Intel,19164,Intel Core i9-10900K Processor,FCLGA1200,125,September 22 2020,NVIDIA GeForce RTX 3080,2373,1313,N/A,2400,1,Approved ,27.21.14.5638,1313,21531,NVidia Corporation,10240,64-bit Windows 10 (10.0.19042),16384,4196,21139
Time Spy,1.2,6602,10,14 nm,Intel,18744,Intel Core i9-10900K Processor,FCLGA1200,125,September 22 2020,NVIDIA GeForce RTX 3080,2377,1315,N/A,2415,1,Approved ,27.21.14.5638,1315,21566,NVidia Corporation,10240,64-bit Windows 10 (10.0.19042),16384,4198,21089
Time Spy,1.2,6502,10,14 nm,Intel,18526,Intel Core i9-10900K Processor,FCLGA1200,125,September 22 2020,NVIDIA GeForce RTX 3080,2369,1314,N/A,2400,1,Approved ,27.21.14.5638,1314,21517,NVidia Corporation,10240,64-bit Windows 10 (10.0.19042),16384,4200,21008
Time Spy,1.2,5408,10,14 nm,Intel,16218,Intel Core i9-10900K Processor,FCLGA1200,125,September 22 2020,NVIDIA GeForce RTX 3080,2061,1319,54,2085,1,Approved ,27.21.14.5638,1319,20100,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4404,19403
Time Spy,1.2,5408,10,14 nm,Intel,16299,Intel Core i9-10900K Processor,FCLGA1200,125,September 24 2020,NVIDIA GeForce RTX 3080,2051,1312,54,2085,1,Approved ,27.21.14.5638,1313,19995,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4404,19337
Time Spy,1.2,5408,10,14 nm,Intel,16280,Intel Core i9-10900K Processor,FCLGA1200,125,September 24 2020,NVIDIA GeForce RTX 3080,2054,1312,54,2070,1,Approved ,27.21.14.5638,1313,19991,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4402,19330
Time Spy,1.2,5308,10,14 nm,Intel,15937,Intel Core i9-10900K Processor,FCLGA1200,125,September 22 2020,NVIDIA GeForce RTX 3080,2067,1312,52,2100,1,Approved ,27.21.14.5638,1313,20084,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4402,19329
Time Spy,1.2,5308,10,14 nm,Intel,16069,Intel Core i9-10900K Processor,FCLGA1200,125,September 22 2020,NVIDIA GeForce RTX 3080,2053,1319,54,2085,1,Approved ,27.21.14.5638,1319,20043,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4402,19326
Time Spy,1.2,5408,10,14 nm,Intel,16203,Intel Core i9-10900K Processor,FCLGA1200,125,September 22 2020,NVIDIA GeForce RTX 3080,2067,1312,54,2085,1,Approved ,27.21.14.5638,1313,20002,"Asustek Computer, Inc.",10240,64-bit Windows 10 (10.0.18363),32768,4402,19322
